Date Saved,12/4/25 20:17,3,4,5
Spectral Data 437[nm],0.013716038,,,
Spectral Data 438[nm],0.015345771,,,
Spectral Data 439[nm],0.017148374,,,
Spectral Data 440[nm],0.019126369,,,
Spectral Data 441[nm],0.021273112,,,
Spectral Data 442[nm],0.023581054,,,
Spectral Data 443[nm],0.026042225,,,
Spectral Data 444[nm],0.028627701,,,
Spectral Data 445[nm],0.031278301,,,
Spectral Data 446[nm],0.033932488,,,
Spectral Data 447[nm],0.036528554,,,
Spectral Data 448[nm],0.039003812,,,
Spectral Data 449[nm],0.041294701,,,
Spectral Data 450[nm],0.043337025,,,
Spectral Data 451[nm],0.045066759,,,
Spectral Data 452[nm],0.046432488,,,
Spectral Data 453[nm],0.047411442,,,
Spectral Data 454[nm],0.047985893,,,
Spectral Data 455[nm],0.048138093,,,
Spectral Data 456[nm],0.047867104,,,
Spectral Data 457[nm],0.047227766,,,
Spectral Data 458[nm],0.046285853,,,
Spectral Data 459[nm],0.045107134,,,
Spectral Data 460[nm],0.043752689,,,
Spectral Data 461[nm],0.042263452,,,
Spectral Data 462[nm],0.040675059,,,
Spectral Data 463[nm],0.039023153,,,
Spectral Data 464[nm],0.03734282,,,
Spectral Data 465[nm],0.035666011,,,
Spectral Data 466[nm],0.034023549,,,
Spectral Data 467[nm],0.032446258,,,
Spectral Data 468[nm],0.030962104,,,
Spectral Data 469[nm],0.029575635,,,
Spectral Data 470[nm],0.028280411,,,
Spectral Data 471[nm],0.027069956,,,
Spectral Data 472[nm],0.025938565,,,
Spectral Data 473[nm],0.024890479,,,
Spectral Data 474[nm],0.023935817,,,
Spectral Data 475[nm],0.023084724,,,
Spectral Data 476[nm],0.022346646,,,
Spectral Data 477[nm],0.02172021,,,
Spectral Data 478[nm],0.021195497,,,
Spectral Data 479[nm],0.020762354,,,
Spectral Data 480[nm],0.020411024,,,
Spectral Data 481[nm],0.020139374,,,
Spectral Data 482[nm],0.019953074,,,
Spectral Data 483[nm],0.019858245,,,
Spectral Data 484[nm],0.01986081,,,
Spectral Data 485[nm],0.019961011,,,
Spectral Data 486[nm],0.020151768,,,
Spectral Data 487[nm],0.020425433,,,
Spectral Data 488[nm],0.020774411,,,
Spectral Data 489[nm],0.021192506,,,
Spectral Data 490[nm],0.021675801,,,
Spectral Data 491[nm],0.022220667,,,
Spectral Data 492[nm],0.022823464,,,
Spectral Data 493[nm],0.023478767,,,
Spectral Data 494[nm],0.024177331,,,
Spectral Data 495[nm],0.024909386,,,
Spectral Data 496[nm],0.025665166,,,
Spectral Data 497[nm],0.02643539,,,
Spectral Data 498[nm],0.027212195,,,
Spectral Data 499[nm],0.027987966,,,
Spectral Data 500[nm],0.028755093,,,
Spectral Data 501[nm],0.029506773,,,
Spectral Data 502[nm],0.030239616,,,
Spectral Data 503[nm],0.030950993,,,
Spectral Data 504[nm],0.031638276,,,
Spectral Data 505[nm],0.032299671,,,
Spectral Data 506[nm],0.032937557,,,
Spectral Data 507[nm],0.033555638,,,
Spectral Data 508[nm],0.03415763,,,
Spectral Data 509[nm],0.034746546,,,
Spectral Data 510[nm],0.035320476,,,
Spectral Data 511[nm],0.035875432,,,
Spectral Data 512[nm],0.036407419,,,
Spectral Data 513[nm],0.036913078,,,
Spectral Data 514[nm],0.037395172,,,
Spectral Data 515[nm],0.037859879,,,
Spectral Data 516[nm],0.038313426,,,
Spectral Data 517[nm],0.038762085,,,
Spectral Data 518[nm],0.039213352,,,
Spectral Data 519[nm],0.039675575,,,
Spectral Data 520[nm],0.040157087,,,
Spectral Data 521[nm],0.040665746,,,
Spectral Data 522[nm],0.0411998,,,
Spectral Data 523[nm],0.041748635,,,
Spectral Data 524[nm],0.04230129,,,
Spectral Data 525[nm],0.04284706,,,
Spectral Data 526[nm],0.043383691,,,
Spectral Data 527[nm],0.043918852,,,
Spectral Data 528[nm],0.044460732,,,
Spectral Data 529[nm],0.045017302,,,
Spectral Data 530[nm],0.045583326,,,
Spectral Data 531[nm],0.046133451,,,
Spectral Data 532[nm],0.046640635,,,
Spectral Data 533[nm],0.047077965,,,
Spectral Data 534[nm],0.047434196,,,
Spectral Data 535[nm],0.047729377,,,
Spectral Data 536[nm],0.047987271,,,
Spectral Data 537[nm],0.048231635,,,
Spectral Data 538[nm],0.048480146,,,
Spectral Data 539[nm],0.048734885,,,
Spectral Data 540[nm],0.048995446,,,
Spectral Data 541[nm],0.049261432,,,
Spectral Data 542[nm],0.049537122,,,
Spectral Data 543[nm],0.049842875,,,
Spectral Data 544[nm],0.050202534,,,
Spectral Data 545[nm],0.050639927,,,
Spectral Data 546[nm],0.051171433,,,
Spectral Data 547[nm],0.051777143,,,
Spectral Data 548[nm],0.052426979,,,
Spectral Data 549[nm],0.05309087,,,
Spectral Data 550[nm],0.053741869,,,
Spectral Data 551[nm],0.054378837,,,
Spectral Data 552[nm],0.05501271,,,
Spectral Data 553[nm],0.055654455,,,
Spectral Data 554[nm],0.056314636,,,
Spectral Data 555[nm],0.056996681,,,
Spectral Data 556[nm],0.057698071,,,
Spectral Data 557[nm],0.058416121,,,
Spectral Data 558[nm],0.059148178,,,
Spectral Data 559[nm],0.059893552,,,
Spectral Data 560[nm],0.060654271,,,
Spectral Data 561[nm],0.061432585,,,
Spectral Data 562[nm],0.062230721,,,
Spectral Data 563[nm],0.063051067,,,
Spectral Data 564[nm],0.063896522,,,
Spectral Data 565[nm],0.064769991,,,
Spectral Data 566[nm],0.065674402,,,
Spectral Data 567[nm],0.066610672,,,
Spectral Data 568[nm],0.067570828,,,
Spectral Data 569[nm],0.068544365,,,
Spectral Data 570[nm],0.069520786,,,
Spectral Data 571[nm],0.070490271,,,
Spectral Data 572[nm],0.071448661,,,
Spectral Data 573[nm],0.072394639,,,
Spectral Data 574[nm],0.073326916,,,
Spectral Data 575[nm],0.07424432,,,
Spectral Data 576[nm],0.075147852,,,
Spectral Data 577[nm],0.076040372,,,
Spectral Data 578[nm],0.076924779,,,
Spectral Data 579[nm],0.077803947,,,
Spectral Data 580[nm],0.07867898,,,
Spectral Data 581[nm],0.079548359,,,
Spectral Data 582[nm],0.080410331,,,
Spectral Data 583[nm],0.08126317,,,
Spectral Data 584[nm],0.082104288,,,
Spectral Data 585[nm],0.082928799,,,
Spectral Data 586[nm],0.083731487,,,
Spectral Data 587[nm],0.084507138,,,
Spectral Data 588[nm],0.085251279,,,
Spectral Data 589[nm],0.085963495,,,
Spectral Data 590[nm],0.086644471,,,
Spectral Data 591[nm],0.087294862,,,
Spectral Data 592[nm],0.087914973,,,
Spectral Data 593[nm],0.088501833,,,
Spectral Data 594[nm],0.089050777,,,
Spectral Data 595[nm],0.089557126,,,
Spectral Data 596[nm],0.090016343,,,
Spectral Data 597[nm],0.090425022,,,
Spectral Data 598[nm],0.090780772,,,
Spectral Data 599[nm],0.091081277,,,
Spectral Data 600[nm],0.09132424,,,
Spectral Data 601[nm],0.09150926,,,
Spectral Data 602[nm],0.091638722,,,
Spectral Data 603[nm],0.091715194,,,
Spectral Data 604[nm],0.091741234,,,
Spectral Data 605[nm],0.091718398,,,
Spectral Data 606[nm],0.091645785,,,
Spectral Data 607[nm],0.091522135,,,
Spectral Data 608[nm],0.091346189,,,
Spectral Data 609[nm],0.091116495,,,
Spectral Data 610[nm],0.090830833,,,
Spectral Data 611[nm],0.090486765,,,
Spectral Data 612[nm],0.090081841,,,
Spectral Data 613[nm],0.089614488,,,
Spectral Data 614[nm],0.089089356,,,
Spectral Data 615[nm],0.088513993,,,
Spectral Data 616[nm],0.087895989,,,
Spectral Data 617[nm],0.087242611,,,
Spectral Data 618[nm],0.086556785,,,
Spectral Data 619[nm],0.085837997,,,
Spectral Data 620[nm],0.085085623,,,
Spectral Data 621[nm],0.08429908,,,
Spectral Data 622[nm],0.083480306,,,
Spectral Data 623[nm],0.082634501,,,
Spectral Data 624[nm],0.081767075,,,
Spectral Data 625[nm],0.080883421,,,
Spectral Data 626[nm],0.079985335,,,
Spectral Data 627[nm],0.079066783,,,
Spectral Data 628[nm],0.078120708,,,
Spectral Data 629[nm],0.077140063,,,
Spectral Data 630[nm],0.07611993,,,
Spectral Data 631[nm],0.075063385,,,
Spectral Data 632[nm],0.073975392,,,
Spectral Data 633[nm],0.072860926,,,
Spectral Data 634[nm],0.071724974,,,
Spectral Data 635[nm],0.070572518,,,
Spectral Data 636[nm],0.069408603,,,
Spectral Data 637[nm],0.068238229,,,
Spectral Data 638[nm],0.067065999,,,
Spectral Data 639[nm],0.065891877,,,
Spectral Data 640[nm],0.064713046,,,
Spectral Data 641[nm],0.063526638,,,
Spectral Data 642[nm],0.062330034,,,
Spectral Data 643[nm],0.061125189,,,
Spectral Data 644[nm],0.059918057,,,
Spectral Data 645[nm],0.058714733,,,
Spectral Data 646[nm],0.05752115,,,
Spectral Data 647[nm],0.056337442,,,
Spectral Data 648[nm],0.055156395,,,
Spectral Data 649[nm],0.053970326,,,
Spectral Data 650[nm],0.052771617,,,
Spectral Data 651[nm],0.051559497,,,
Spectral Data 652[nm],0.050345771,,,
Spectral Data 653[nm],0.049143586,,,
Spectral Data 654[nm],0.047966093,,,
Spectral Data 655[nm],0.046820477,,,
Spectral Data 656[nm],0.045697685,,,
Spectral Data 657[nm],0.044585939,,,
Spectral Data 658[nm],0.043473452,,,
Spectral Data 659[nm],0.042352356,,,
Spectral Data 660[nm],0.041230921,,,
Spectral Data 661[nm],0.040121581,,,
Spectral Data 662[nm],0.039036766,,,
Spectral Data 663[nm],0.037987206,,,
Spectral Data 664[nm],0.036972951,,,
Spectral Data 665[nm],0.035989866,,,
Spectral Data 666[nm],0.035033826,,,
Spectral Data 667[nm],0.034100682,,,
Spectral Data 668[nm],0.033185825,,,
Spectral Data 669[nm],0.032284409,,,
Spectral Data 670[nm],0.031391591,,,
Spectral Data 671[nm],0.030503299,,,
Spectral Data 672[nm],0.029621555,,,
Spectral Data 673[nm],0.028752368,,,
Spectral Data 674[nm],0.027901895,,,
Spectral Data 675[nm],0.027075434,,,
Spectral Data 676[nm],0.026269762,,,
Spectral Data 677[nm],0.025476754,,,
Spectral Data 678[nm],0.024688227,,,
Spectral Data 679[nm],0.023897661,,,
Spectral Data 680[nm],0.023113482,,,
Spectral Data 681[nm],0.022352023,,,
Spectral Data 682[nm],0.021629689,,,
Spectral Data 683[nm],0.020960608,,,
Spectral Data 684[nm],0.020340323,,,
Spectral Data 685[nm],0.019755322,,,
Spectral Data 686[nm],0.019192036,,,
Spectral Data 687[nm],0.018638315,,,
Spectral Data 688[nm],0.018092502,,,
Spectral Data 689[nm],0.017557649,,,
Spectral Data 690[nm],0.017036825,,,
Spectral Data 691[nm],0.016532363,,,
Spectral Data 692[nm],0.016041618,,,
Spectral Data 693[nm],0.015559897,,,
Spectral Data 694[nm],0.0150825,,,
Spectral Data 695[nm],0.014606,,,
Spectral Data 696[nm],0.014134759,,,
Spectral Data 697[nm],0.013676083,,,
Spectral Data 698[nm],0.013237281,,,
Spectral Data 699[nm],0.012823988,,,
Spectral Data 700[nm],0.012432484,,,
Spectral Data 701[nm],0.01205581,,,
Spectral Data 702[nm],0.011687001,,,
Spectral Data 703[nm],0.011320218,,,
Spectral Data 704[nm],0.010955217,,,
Spectral Data 705[nm],0.010593473,,,
Spectral Data 706[nm],0.010236455,,,
Spectral Data 707[nm],0.009886601,,,
Spectral Data 708[nm],0.009550714,,,
Spectral Data 709[nm],0.009236824,,,
Spectral Data 710[nm],0.008952959,,,
Spectral Data 711[nm],0.00870373,,,
Spectral Data 712[nm],0.008479636,,,
Spectral Data 713[nm],0.008267544,,,
Spectral Data 714[nm],0.008054321,,,
Spectral Data 715[nm],0.00782876,,,
Spectral Data 716[nm],0.007586913,,,
Spectral Data 717[nm],0.007326539,,,
Spectral Data 718[nm],0.007045399,,,
Spectral Data 719[nm],0.006743418,,,
Spectral Data 720[nm],0.006427972,,,
Spectral Data 721[nm],0.006108043,,,
Spectral Data 722[nm],0.005792612,,,
Spectral Data 723[nm],0.005492476,,,
Spectral Data 724[nm],0.005224149,,,
Spectral Data 725[nm],0.005005271,,,
Spectral Data 726[nm],0.004853468,,,
Spectral Data 727[nm],0.004774652,,,
Spectral Data 728[nm],0.004740925,,,
Spectral Data 729[nm],0.004718326,,,
Spectral Data 730[nm],0.004672917,,,
Spectral Data 731[nm],0.004581711,,,
Spectral Data 732[nm],0.004450713,,,
Spectral Data 733[nm],0.004290661,,,
Spectral Data 734[nm],0.004112285,,,
Spectral Data 735[nm],0.003922388,,,
Spectral Data 736[nm],0.003718254,,,
Spectral Data 737[nm],0.003495746,,,
Spectral Data 738[nm],0.003250764,,,
Spectral Data 739[nm],0.002987309,,,
Spectral Data 740[nm],0.00272745,,,
Spectral Data 741[nm],0.002495698,,,
Spectral Data 742[nm],0.00231647,,,
Spectral Data 743[nm],0.002199642,,,
Spectral Data 744[nm],0.002125256,,,
Spectral Data 745[nm],0.002069692,,,
Spectral Data 746[nm],0.002009462,,,
Spectral Data 747[nm],0.001935774,,,
Spectral Data 748[nm],0.001867609,,,
Spectral Data 749[nm],0.001827031,,,
Spectral Data 750[nm],0.001835814,,,
Spectral Data 751[nm],0.00189128,,,
Spectral Data 752[nm],0.001948174,,,
Spectral Data 753[nm],0.001956966,,,
Spectral Data 754[nm],0.001868642,,,
Spectral Data 755[nm],0.001668183,,,
Spectral Data 756[nm],0.001395181,,,
Spectral Data 757[nm],0.001094155,,,
Spectral Data 758[nm],0.000809611,,,
Spectral Data 759[nm],0.000585327,,,
Spectral Data 760[nm],0.000463993,,,
Spectral Data 761[nm],0.000488213,,,
Spectral Data 762[nm],0.000698925,,,
Spectral Data 763[nm],0.00106381,,,
Spectral Data 764[nm],0.001450233,,,
Spectral Data 765[nm],0.001718316,,,
Spectral Data 766[nm],0.001731216,,,
Spectral Data 767[nm],0.001463475,,,
Spectral Data 768[nm],0.001030581,,,
Spectral Data 769[nm],0.000557076,,,
Spectral Data 770[nm],0.00016541,,,
Spectral Data 771[nm],0,,,
Spectral Data 772[nm],0,,,
Spectral Data 773[nm],0,,,
Spectral Data 774[nm],0,,,
Spectral Data 775[nm],0,,,
Spectral Data 776[nm],1.55838E-05,,,
Spectral Data 777[nm],0.000158114,,,
Spectral Data 778[nm],0.000293693,,,
Spectral Data 779[nm],0.000405147,,,
Spectral Data 780[nm],0.000478273,,,
,,,,
TM-30 Color Vector Graphic,Reference Illuminant x,Reference Illuminant y,Measured Illuminant x,Measured Illuminant y
bin1,0.9790714,0.203517,0.8666078,0.188483
bin2,0.7934133,0.6086832,0.6882575,0.6250821
bin3,0.5563965,0.8309169,0.4511544,0.8684164
bin4,0.1307464,0.9914159,0.07671584,1.006624
bin5,-0.1898957,0.9818043,-0.2187179,0.9744439
bin6,-0.5958146,0.803122,-0.5828036,0.8321797
bin7,-0.8145652,0.580072,-0.743048,0.5934682
bin8,-0.9589978,0.2834136,-0.9162773,0.2785749
bin9,-0.9855085,-0.1696259,-0.9195744,-0.2102516
bin10,-0.8442103,-0.5360121,-0.7540759,-0.6120595
bin11,-0.5709814,-0.820963,-0.4654984,-0.9066827
bin12,-0.2799106,-0.9600261,-0.270466,-1.032934
bin13,0.1712414,-0.9852291,0.1014495,-1.045807
bin14,0.5517867,-0.8339853,0.4456158,-0.9614649
bin15,0.8425401,-0.5386336,0.7421374,-0.6271964
bin16,0.9684236,-0.2493105,0.8571563,-0.3858534
